0,-28544,28544
9,27430,27430
23,13893,13893
51,-12478,12478
25,11724,11724
3,-9998,9998
39,8773,8773
47,8505,8505
10,7855,7855
44,-7849,7849
43,-7482,7482
63,-6750,6750
75,-6623,6623
5,-6522,6522
66,-6518,6518
42,6272,6272
21,6115,6115
7,-5773,5773
33,5652,5652
61,5651,5651
52,5589,5589
36,5562,5562
678,-5097,5097
24,4741,4741
67,4728,4728
31,-4721,4721
12,-4677,4677
8,-4416,4416
156,4331,4331
446,4114,4114
894,4101,4101
273,-4067,4067
15,-4044,4044
13,-3968,3968
57,-3960,3960
906,3957,3957
769,3952,3952
476,3918,3918
29,-3897,3897
247,-3886,3886
82,-3826,3826
49,3793,3793
198,-3754,3754
895,-3681,3681
802,3652,3652
54,-3605,3605
45,-3602,3602
245,3534,3534
324,3452,3452
64,3442,3442
216,-3404,3404
170,3399,3399
297,3390,3390
666,3389,3389
754,-3369,3369
487,3316,3316
613,-3313,3313
35,3285,3285
827,-3281,3281
793,-3238,3238
65,-3231,3231
468,3200,3200
200,3126,3126
800,-3085,3085
48,3082,3082
94,3047,3047
897,-3039,3039
162,-3034,3034
629,-3034,3034
50,-3014,3014
265,2995,2995
919,-2979,2979
60,-2974,2974
59,2905,2905
137,-2890,2890
509,-2884,2884
877,-2882,2882
78,-2842,2842
207,2825,2825
600,2825,2825
582,-2819,2819
100,-2814,2814
115,-2809,2809
79,-2763,2763
209,2755,2755
195,2717,2717
540,-2690,2690
664,2682,2682
449,-2670,2670
123,2668,2668
429,-2664,2664
77,2605,2605
771,2602,2602
592,2589,2589
712,-2570,2570
86,-2566,2566
574,2564,2564
40,2563,2563
182,-2562,2562
785,-2545,2545
549,2539,2539
53,2522,2522
813,-2517,2517
846,2501,2501
181,2492,2492
227,-2487,2487
28,-2473,2473
856,-2468,2468
757,-2460,2460
910,2455,2455
426,-2454,2454
837,2401,2401
564,-2397,2397
208,-2396,2396
437,2391,2391
817,-2390,2390
896,2388,2388
289,2375,2375
14,2370,2370
72,2369,2369
98,2329,2329
631,2327,2327
451,-2320,2320
647,2319,2319
172,2312,2312
37,-2306,2306
377,2303,2303
512,2291,2291
62,2289,2289
585,-2279,2279
396,2273,2273
598,2254,2254
139,2248,2248
20,-2239,2239
391,2230,2230
472,-2230,2230
345,2226,2226
622,2221,2221
349,2216,2216
901,-2214,2214
507,2211,2211
241,-2207,2207
625,-2206,2206
820,2198,2198
683,2180,2180
224,2172,2172
371,2167,2167
235,2161,2161
766,-2160,2160
319,2159,2159
495,2157,2157
358,-2156,2156
11,-2148,2148
804,2147,2147
368,2106,2106
467,-2071,2071
619,2054,2054
765,2045,2045
306,-2021,2021
238,2017,2017
483,2013,2013
905,2005,2005
685,2002,2002
898,1999,1999
413,1993,1993
17,1991,1991
714,-1987,1987
828,-1982,1982
279,1981,1981
210,1973,1973
315,1969,1969
706,1965,1965
749,1965,1965
700,1958,1958
861,-1950,1950
534,1949,1949
433,-1947,1947
466,1939,1939
215,-1937,1937
575,-1935,1935
477,1930,1930
229,-1930,1930
525,-1911,1911
155,1904,1904
337,1900,1900
778,-1898,1898
716,1895,1895
184,-1894,1894
250,-1886,1886
30,1885,1885
431,1877,1877
756,1873,1873
26,-1868,1868
96,1859,1859
176,-1853,1853
747,-1842,1842
243,-1830,1830
412,-1822,1822
879,-1816,1816
83,-1813,1813
285,1804,1804
342,1804,1804
434,-1800,1800
818,-1793,1793
76,-1786,1786
226,1785,1785
253,-1785,1785
501,-1784,1784
240,-1782,1782
603,-1780,1780
833,-1780,1780
781,1776,1776
175,-1774,1774
543,1762,1762
842,-1751,1751
81,1749,1749
874,-1735,1735
819,-1725,1725
699,-1723,1723
493,-1715,1715
841,1713,1713
606,1710,1710
735,-1702,1702
596,-1698,1698
867,-1694,1694
633,-1689,1689
136,1687,1687
767,-1687,1687
759,-1686,1686
385,1673,1673
907,1672,1672
872,-1672,1672
266,-1671,1671
587,-1669,1669
815,1667,1667
739,-1667,1667
118,-1666,1666
573,-1662,1662
74,-1649,1649
120,1645,1645
180,-1631,1631
151,1620,1620
826,1619,1619
305,-1611,1611
515,-1611,1611
671,-1611,1611
352,1610,1610
701,1609,1609
364,-1605,1605
576,1597,1597
56,-1597,1597
686,-1596,1596
806,-1595,1595
106,-1594,1594
293,1591,1591
249,-1589,1589
469,1576,1576
736,-1570,1570
799,1568,1568
863,1568,1568
275,-1566,1566
805,1563,1563
219,1562,1562
562,1562,1562
610,-1548,1548
435,-1545,1545
376,-1541,1541
329,1529,1529
677,-1527,1527
71,-1525,1525
784,1523,1523
914,-1522,1522
153,-1518,1518
812,-1517,1517
378,1515,1515
159,-1515,1515
786,-1515,1515
255,-1505,1505
579,-1505,1505
742,1498,1498
70,1491,1491
519,-1488,1488
548,-1487,1487
169,-1482,1482
668,1478,1478
16,1470,1470
116,1462,1462
796,1462,1462
623,-1459,1459
274,1458,1458
811,-1446,1446
825,-1436,1436
789,-1430,1430
222,1427,1427
648,1426,1426
485,-1425,1425
313,-1421,1421
392,-1421,1421
158,-1419,1419
410,1412,1412
326,-1408,1408
516,1405,1405
244,-1405,1405
439,1399,1399
464,1399,1399
192,1395,1395
496,-1394,1394
692,-1382,1382
580,-1375,1375
373,-1373,1373
835,1370,1370
724,1366,1366
658,-1359,1359
347,-1358,1358
299,1357,1357
302,-1352,1352
665,-1347,1347
355,1343,1343
550,-1341,1341
553,1334,1334
886,-1331,1331
866,1330,1330
740,1327,1327
166,-1327,1327
270,-1323,1323
909,1321,1321
97,1318,1318
87,-1308,1308
425,1301,1301
687,-1300,1300
